Adam,RMSprop,SGD,Adagrad
"[0.8814, 0.8892, 0.8791, 0.8895, 0.8853, 0.8909, 0.8755, 0.8815, 0.8438, 0.8825, 0.8726, 0.886, 0.8905, 0.8881, 0.8787]","[0.8555, 0.8597, 0.8874, 0.8821, 0.8586, 0.8891, 0.8261, 0.8823, 0.8855, 0.8709, 0.8472, 0.8887, 0.8909, 0.8909, 0.8858]","[0.512, 0.5055, 0.5044, 0.5099, 0.5417, 0.514, 0.5097, 0.5081, 0.5073, 0.5048, 0.5072, 0.5042, 0.5126, 0.512, 0.5226]","[0.5054, 0.5084, 0.5119, 0.5165, 0.5158, 0.5355, 0.5078, 0.5076, 0.5332, 0.5107, 0.5171, 0.5126, 0.5122, 0.5121, 0.5202]"
"[0.8483741322616003, 0.8899799599198397, 0.8415930798342044, 0.8708817368120358, 0.9187133231906107, 0.870380898237635, 0.8354475611934965, 0.8919252106020136, 0.7810660562459124, 0.9113787911378791, 0.8341104734576757, 0.8873946206342834, 0.8891767988837951, 0.8820633983067533, 0.8498060225383336]","[0.94627165453176, 0.9450631031922792, 0.904891304347826, 0.8478062989259056, 0.801953519703604, 0.8898016429573232, 0.7550445800093852, 0.8491324200913242, 0.8966865610207861, 0.9189067088321663, 0.9386053562405255, 0.8951006302093921, 0.8698202459791864, 0.8785589773387565, 0.8612359550561798]","[0.5425531914893617, 0.5154581225407532, 0.5127610208816705, 0.5204123711340206, 0.6177300959909655, 0.5426309378806333, 0.544211485870556, 0.5133092343082485, 0.5186891961085509, 0.5106477373558119, 0.5123203285420944, 0.509641873278237, 0.5324407826982492, 0.5109609061015711, 0.5631284916201117]","[0.5241071428571429, 0.5332278481012658, 0.536887786732796, 0.518411068957822, 0.5404298874104401, 0.5260760981342736, 0.534452296819788, 0.5196078431372549, 0.5562330623306233, 0.5423594615993665, 0.5294320137693632, 0.535593220338983, 0.5259795570698467, 0.549227013832384, 0.5551912568306011]"
"[0.9288, 0.8882, 0.934, 0.9146, 0.8454, 0.9186, 0.9352, 0.8682, 0.9554, 0.8474, 0.9302, 0.8842, 0.8922, 0.896, 0.92]","[0.7538, 0.7638, 0.8658, 0.9314, 0.9524, 0.8882, 0.9654, 0.9298, 0.8714, 0.8136, 0.743, 0.8806, 0.9194, 0.9072, 0.9198]","[0.153, 0.1834, 0.1768, 0.2524, 0.2188, 0.1782, 0.1194, 0.3124, 0.2026, 0.2302, 0.2994, 0.222, 0.2068, 0.5594, 0.2016]","[0.1174, 0.1348, 0.1732, 0.4646, 0.2112, 0.7162, 0.121, 0.2014, 0.3284, 0.137, 0.3076, 0.1896, 0.247, 0.135, 0.2032]"
"[0.8867672331487492, 0.889089089089089, 0.8853919802824913, 0.8922056384742952, 0.8805332777835643, 0.8938406149654569, 0.8825139190336888, 0.8799027059896626, 0.859481827995682, 0.8782257228728366, 0.8795385779122542, 0.8857944299739532, 0.8906858340820606, 0.8889770810596289, 0.8835109958705465]","[0.8391405989090504, 0.844818051100542, 0.8849141455437448, 0.8876393786333746, 0.8707259096727007, 0.8890001000900811, 0.8473624155183007, 0.88763723150358, 0.8838624606958109, 0.8630529330646017, 0.829426211207859, 0.8877911079745942, 0.8939231891103548, 0.8926498081275214, 0.8895551257253385]","[0.23868954758190328, 0.27054137778433396, 0.2629387269482451, 0.3399326599326599, 0.32314281494609365, 0.26829268292682923, 0.19583401672953915, 0.3884122839736417, 0.29138501366316694, 0.31734215605183347, 0.3779348649330977, 0.30927835051546393, 0.29789685969461255, 0.5340843994653428, 0.29690721649484536]","[0.19183006535947714, 0.2151979565772669, 0.261908362316649, 0.4900326969728932, 0.30371009490940465, 0.6065893114254256, 0.19732550554468362, 0.29028538483712885, 0.41297786720321933, 0.2187450103784129, 0.3891208096141683, 0.2800590841949778, 0.33614589003810563, 0.2167282067747632, 0.29751098096632506]"
